eng,ml,indic_trans_translated
"The Poshan Tracker system is regularly audited by auditors engaged by MWCD, for security and scalability of the system.",സിസ്റ്റത്തിന്റെ സുരക്ഷയ്ക്കും സ്കേലബിളിറ്റിക്കുമായി എംഡബ്ല്യുസിഡി ഏർപ്പെട്ടിരിക്കുന്ന ഓഡിറ്റർമാരാൽ പോഷൻ ട്രാക്കർ സിസ്റ്റം പതിവായി ഓഡിറ്റ് ചെയ്യപ്പെടുന്നു.,The Potion Tracker System is regularly audited by auditors engaged by MWCD for security and scalability of the system.
The records may be used for such audits.,അത്തരം ഓഡിറ്റുകൾക്ക് രേഖകൾ ഉപയോഗിക്കാം.,Such audits can be used for documents.
Poshan Tracker adds new Resources on Website,പോഷൺട്രക്കർ വെബ്സൈറ്റിൽ പുതിയ ഉറവിടങ്ങൾ ചേർക്കുന്നു,Adding new resources to the website
"If this is your first time contacting us or you've lost the ticket number, please open a new ticket","നിങ്ങൾ ആദ്യമായി ഞങ്ങളെ ബന്ധപ്പെടുകയോ ടിക്കറ്റ് നമ്പർ നഷ്ടപ്പെടുകയോ ചെയ്താൽ, ദയവായി ഒരു പുതിയ ടിക്കറ്റ് തുറക്കുക","If you first contact us or lose your ticket number, please open a new ticket"
"Technology under Poshan Tracker is being leveraged for dynamic identification of stunting, wasting, under-weight prevalence among children and last mile tracking of nutrition service delivery","കുട്ടികൾക്കിടയിലെ വളർച്ച മുരടിപ്പ്, ക്ഷീണം, ഭാരക്കുറവ് എന്നിവയുടെ ചലനാത്മകമായ തിരിച്ചറിയൽ, പോഷകാഹാര സേവന വിതരണത്തിന്റെ അവസാന മൈൽ ട്രാക്കിംഗ് എന്നിവയ്ക്കായി പോഷൻ ട്രാക്കറിന് കീഴിലുള്ള സാങ്കേതികവിദ്യ പ്രയോജനപ്പെടുത്തുന്നു","The technology under the POSHAN tracker is being used for dynamic identification of stunting, fatigue and weight loss in children, and for last mile tracking of nutrition service delivery"
The System also takes feedback about system performance and experience.,സിസ്റ്റം പ്രകടനത്തെക്കുറിച്ചും അനുഭവത്തെക്കുറിച്ചും സിസ്റ്റം ഫീഡ്ബാക്ക് എടുക്കുന്നു.,System feedback takes into account system performance and experience.
"Information on name, mobile number, date of registration and health status may be used for these purposes","പേര്, മൊബൈൽ നമ്പർ, രജിസ്ട്രേഷൻ തീയതി, ആരോഗ്യ നില എന്നിവയെ കുറിച്ചുള്ള വിവരങ്ങൾ ഈ ആവശ്യങ്ങൾക്ക് ഉപയോഗിക്കാം","Information such as name, mobile number, registration date and health status can be used for these purposes"
"We collect the content and other information that you provide when you use our Services, including when you sign up for an account.",നിങ്ങൾ ഒരു അക്കൌണ്ടിനായി സൈൻ അപ്പ് ചെയ്യുമ്പോൾ ഉൾപ്പെടെ ഞങ്ങളുടെ സേവനങ്ങൾ ഉപയോഗിക്കുമ്പോൾ നിങ്ങൾ നൽകുന്ന ഉള്ളടക്കവും മറ്റ് വിവരങ്ങളും ഞങ്ങൾ ശേഖരിക്കുന്നു.,"We collect the content and other information you provide when you use our services, including when you sign up for an account."
"You may, however, choose not to share personal data where providing the data is optional.","എന്നിരുന്നാലും, ഡാറ്റ നൽകുന്നത് ഓപ്ഷണൽ ആയിരിക്കുന്നിടത്ത് വ്യക്തിഗത ഡാറ്റ പങ്കിടരുതെന്ന് നിങ്ങൾക്ക് തിരഞ്ഞെടുക്കാം.","However, you can choose not to share personal data where it is optional to provide data."
Tracking of services to the end beneficiary at a click of a button.,ഒരു ബട്ടണിന്റെ ഒരു ക്ലിക്കിലൂടെ അന്തിമ ഗുണഭോക്താവിലേക്കുള്ള സേവനങ്ങളുടെ ട്രാക്കിംഗ്.,Tracking services to the ultimate beneficiary with one click of a button.
"Services like Take Home Ration (THR) and Hot cooked Meal (HCM), vaccination for Infants and Pregnant Women","ടേക്ക് ഹോം റേഷൻ (THR), ഹോട്ട് കുക്ക്ഡ് മീൽ (HCM), ശിശുക്കൾക്കും ഗർഭിണികൾക്കും വാക്സിനേഷൻ പോലുള്ള സേവനങ്ങൾ","Services like Take Home Ration (THR), Hot Cooked Meal (HCM), Vaccination for Infants and Pregnant Women"
"New Poshan Tracker App (13 January, 2021)","പുതിയ പോഷൻ ട്രാക്കർ ആപ്പ് (13 ജനുവരി, 2021)","New Potion Tracker App (13th January, 2021)"
Preventing illnesses to avert Malnutrition and Death,പോഷകാഹാരക്കുറവും മരണവും ഒഴിവാക്കാൻ രോഗങ്ങൾ തടയുന്നു,Prevents Malnutrition and Mortality
Scan the QR Code to Download the App,ആപ്പ് ഡൌൺലോഡ് ചെയ്യാൻ QR കോഡ് സ്കാൻ ചെയ്യുക,Scan the QR code to download the app
Pregnant women who received Take Home Ration (THR),ടേക്ക് ഹോം റേഷൻ (THR) സ്വീകരിച്ച ഗർഭിണികൾ,Pregnant Women Received Take Home Ration (THR)
General Awareness on SAM and MAM,"SAM, MAM എന്നിവയെക്കുറിച്ചുള്ള പൊതുവായ അവബോധം",General Awareness about SAM and MAM
"App can be accessed offline, currently daily tracking feature is available for offline data entry.Offline mode can store latest 3 days data.","ഇല്ല, സാധുവായ ഇന്റർനെറ്റ് കണക്ഷൻ ഇല്ലാതെ അപ്ലിക്കേഷൻ പ്രവർത്തിക്കുന്നില്ല.","No, the app does not work without a valid internet connection."
These organizations will not use the APIs/ No-code webpage integration to encourage or promote illegal activity or violation of third-party rights including these Terms with Poshan Tracker.,പോഷൻ ട്രാക്കറുമായുള്ള ഈ നിബന്ധനകൾ ഉൾപ്പെടെയുള്ള നിയമവിരുദ്ധമായ പ്രവർത്തനം അല്ലെങ്കിൽ മൂന്നാം കക്ഷി അവകാശങ്ങളുടെ ലംഘനം പ്രോത്സാഹിപ്പിക്കാനോ പ്രോത്സാഹിപ്പിക്കാനോ ഈ ഓർഗനൈസേഷനുകൾ API-കൾ/കോഡ് നോ-കോഡ് വെബ്പേജ് സംയോജനം ഉപയോഗിക്കില്ല.,These organizations will not use the API / code no-code webpage combination to promote or encourage unlawful activity including these provisions with POSHAN tracker or violation of third party rights.
"Pregnant Women, Lactating Mothers, Children from 6 months to 3 years and adolescent girls.","ഗർഭിണികൾ, മുലയൂട്ടുന്ന അമ്മമാർ, 6 മാസം മുതൽ 3 വയസ്സ് വരെയുള്ള കുട്ടികൾ, കൌമാരക്കാരായ പെൺകുട്ടികൾ.","Pregnant women, lactating mothers, children between the age of 6 months and 3 years, adolescent girls."
"New Poshan Tracker App : CSC-SPV Nodal Person (02 February, 2021)","പുതിയ പോഷൻ ട്രാക്കർ അപ്ലിക്കേഷൻഃ സിഎസ്സി-എസ്പിവി നോഡൽ പേഴ്സൺ (02 ഫെബ്രുവരി, 2021)","New Potion Tracker App: CSC-SPV Nodal Person (February 02, 2021)"
An AWW can use ‘Migrate Beneficiary’ option to migrate a beneficiary from one AWC to another AWC basis their Aadhaar number.,AWW-ന് അവരുടെ ആധാർ നമ്പർ അടിസ്ഥാനമാക്കി ഒരു AWC-യിൽ നിന്ന് മറ്റൊരു AWC-ലേക്ക് ഒരു ഗുണഭോക്താവിനെ മൈഗ്രേറ്റ് ചെയ്യാൻ 'മൈഗ്രേറ്റ് ബെനിഫിഷ്യറി' ഓപ്ഷൻ ഉപയോഗിക്കാം.,AWW can use the 'Migrate Beneficiary' option to migrate a beneficiary from one AWC to another based on their Aadhaar number.
A beneficiary is eligible for HCM for at least 21 days in a month.,ഒരു ഗുണഭോക്താവിന് ഒരു മാസത്തിൽ കുറഞ്ഞത് 21 ദിവസത്തേക്ക് HCM-ന് അർഹതയുണ്ട്.,A beneficiary is entitled to HCM for a minimum period of 21 days in a month.
ABHA (Health ID) and its Benefits,ABHA (ഹെൽത്ത് ഐഡി) അതിന്റെ ഗുണങ്ങളും,ABHA (Health ID) and its benefits
"We'ar sorry, the page you requested could not be found.","ക്ഷമിക്കണം, നിങ്ങൾ അഭ്യർത്ഥിച്ച പേജ് കണ്ടെത്താൻ കഴിഞ്ഞില്ല.","Sorry, the page you requested could not be found."
Dadra & Nagar Haveli - Daman & Diu,ദാദ്ര & നഗർ ഹവേലി - ദാമൻ ആൻഡ് ദിയു,Dadra & Nagar Haveli Daman & Diu
Download Mobile App from Play Store,പ്ലേ സ്റ്റോറിൽ നിന്ന് മൊബൈൽ ആപ്പ് ഡൌൺലോഡ് ചെയ്യുക,Download the app from the Play Store
General Awareness on the Delivery of the child,കുട്ടിയുടെ പ്രസവത്തെക്കുറിച്ചുള്ള പൊതു അവബോധം,Public Awareness of Childbirth
"We also use the data to operate our services, which includes analyzing our performance, meeting our legal obligations, developing our workforce, and doing research.","ഞങ്ങളുടെ സേവനങ്ങൾ പ്രവർത്തിപ്പിക്കുന്നതിനും ഞങ്ങൾ ഡാറ്റ ഉപയോഗിക്കുന്നു, അതിൽ ഞങ്ങളുടെ പ്രകടനം വിശകലനം ചെയ്യുക, ഞങ്ങളുടെ നിയമപരമായ ബാധ്യതകൾ നിറവേറ്റുക, ഞങ്ങളുടെ തൊഴിൽ ശക്തി വികസിപ്പിക്കുക, ഗവേഷണം ചെയ്യുക എന്നിവ ഉൾപ്പെടുന്നു.","We also use data to run our services, which includes analysing our performance, fulfilling our legal obligations, developing our workforce, and doing research."
Where can I enquire about Hot Cooked Meal?,ചൂട് പാകം ചെയ്ത ഭക്ഷണത്തെക്കുറിച്ച് എനിക്ക് എവിടെ അന്വേഷിക്കാനാകും?,Where Can I Find the Hot Cooked Food?
"The Site may contain links to other websites that may not be owned, maintained, or operated by us.",ഞങ്ങളുടെ ഉടമസ്ഥതയിലുള്ളതോ പരിപാലിക്കുന്നതോ പ്രവർത്തിപ്പിക്കാത്തതോ ആയ മറ്റ് വെബ്സൈറ്റുകളിലേക്കുള്ള ലിങ്കുകൾ സൈറ്റിൽ അടങ്ങിയിരിക്കാം.,"The site may contain links to other websites that are owned, maintained or not operated by us."
"The fact that these websites are linked, does not indicate any endorsement of these websites from us, since we do have any control over these websites.","ഈ വെബ്സൈറ്റുകൾ ലിങ്ക് ചെയ്തിരിക്കുന്നു എന്ന വസ്തുത ഞങ്ങളിൽ നിന്നുള്ള ഈ വെബ്സൈറ്റുകളുടെ ഏതെങ്കിലും അംഗീകാരത്തെ സൂചിപ്പിക്കുന്നില്ല, കാരണം ഈ വെബ്സൈറ്റുകളിൽ ഞങ്ങൾക്ക് എന്തെങ്കിലും നിയന്ത്രണമുണ്ട്.",The fact that these websites are linked does not indicate any recognition of these websites from us because we have some restriction on these websites.
We are not responsible for these websites including any content or the privacy practices of these websites.,ഈ വെബ്സൈറ്റുകളുടെ ഏതെങ്കിലും ഉള്ളടക്കമോ സ്വകാര്യതാ രീതികളോ ഉൾപ്പെടെയുള്ള ഈ വെബ്സൈറ്റുകൾക്ക് ഞങ്ങൾ ഉത്തരവാദികളല്ല.,We are not responsible for any content or privacy practices of these websites.
We strongly encourage you to familiarize yourself with the terms of use of these websites.,ഈ വെബ്സൈറ്റുകളുടെ ഉപയോഗ നിബന്ധനകൾ സ്വയം പരിചയപ്പെടാൻ ഞങ്ങൾ നിങ്ങളെ ശക്തമായി പ്രോത്സാഹിപ്പിക്കുന്നു.,We strongly encourage you to familiarize yourself with the terms of use of these websites.
Your use of these websites is at your own risk and peril.,ഈ വെബ്സൈറ്റുകളുടെ നിങ്ങളുടെ ഉപയോഗം നിങ്ങളുടെ സ്വന്തം ഉത്തരവാദിത്തത്തിലും അപകടത്തിലുമാണ്.,Your use of these websites is at risk of your own responsibility.
In how many languages AWW can enter the data while filling up the form?,ഫോം പൂരിപ്പിക്കുമ്പോൾ എഒപ്പംഒപ്പം അല്ലെങ്കിൽ AWC എത്ര ഭാഷകളിൽ ഡാറ്റ നൽകാൻ കഴിയും?,How many languages or AWCs can provide data at the time of filling the form?
Children who are identified as deficit on nutrition are eligible for additional food supplements.,പോഷകാഹാരക്കുറവ് തിരിച്ചറിയുന്ന കുട്ടികൾക്ക് അധിക ഭക്ഷണ സപ്ലിമെന്റുകൾക്ക് അർഹതയുണ്ട്.,Children who are malnourished are entitled to additional food supplements.
An underweight person is a person whose body weight is considered too low to be healthy,ശരീരഭാരം വളരെ കുറവാണെന്ന് കരുതുന്ന ഒരു വ്യക്തിയെയാണ് ഭാരക്കുറവുള്ള വ്യക്തി എന്ന് പറയുന്നത്,A person who is considered underweight is called a underweight person
When and how to use MPIN?,"എംപിൻ എപ്പോൾ, എങ്ങനെ ഉപയോഗിക്കണം?",How and when to use it?
Ensuring that complementary feeding improves over time,പൂരക ഭക്ഷണം കാലക്രമേണ മെച്ചപ്പെടുന്നുവെന്ന് ഉറപ്പാക്കുന്നു,Supplementary food ensures that it improves over time
Using ABHA (Health ID) is the first step towards creating safer and efficient digital health records for you and your family.,നിങ്ങൾക്കും നിങ്ങളുടെ കുടുംബത്തിനും സുരക്ഷിതവും കാര്യക്ഷമവുമായ ഡിജിറ്റൽ ഹെൽത്ത് റെക്കോർഡുകൾ സൃഷ്ടിക്കുന്നതിനുള്ള ആദ്യപടിയാണ് ABHA (ഹെൽത്ത് ഐഡി) ഉപയോഗിക്കുന്നത്.,ABHA (Health ID) is the first step towards creating safe and effective digital health records for you and your family.
ABHA (earlier known as Health ID) is an acronym for Ayushman Bharat Health Account.,ആയുഷ്മാൻ ഭാരത് ഹെൽത്ത് അക്കൌണ്ടിന്റെ ചുരുക്കപ്പേരാണ് ABHA (നേരത്തെ ഹെൽത്ത് ഐഡി എന്നറിയപ്പെട്ടിരുന്നത്).,ABHA (formerly known as Health ID) is an acronym for Ayushman Bharat Health Account
AWW/AWCs can only be added by nodal level official.Anybody in the above rank in the hierarchy.,"AWW / AWC- കൾ നോഡൽ ലെവൽ ഉദ്യോഗസ്ഥർക്ക് മാത്രമേ ചേർക്കാൻ കഴിയൂ.ശ്രേണിയിൽ മുകളിലുള്ള റംഗിലുള്ള ആരെങ്കിലും.ദേശീയ തലത്തിലുള്ള ഉപയോക്താവിന് സംസ്ഥാന, ജില്ല, പ്രോജക്റ്റ്, മേഖല തലത്തിലുള്ള ഉപയോക്താക്കളെ സൃഷ്ടിക്കാൻ കഴിയും.സംസ്ഥാനതലത്തിലുള്ള ഉപയോക്താവിന് ജില്ല, പ്രോജക്റ്റ്, സെക്ടർ ലെവൽ ഉപയോക്താക്കളെ സൃഷ്ടിക്കാൻ കഴിയും, ജില്ലാതല ഉപയോക്താവിന് പ്രോജക്റ്റ്, സെക്ടർ ലെവൽ ഉപയോക്താവിനെ സൃഷ്ടിക്കാൻ കഴിയും, പ്രോജക്റ്റ് ലെവൽ ഉപയോക്താവിന് സെക്ടർ ലെവൽ യൂസർ.ക സൃഷ്ടിക്കാൻ കഴിയും.","AWWs / AWCs can only be added by nodal level officers. anyone in the range above. A national level user can create a state, district, project and regional level user. A state level user can create a district, project and sector level user, a district level user can create a project and a sector level user can create a sector level user."
Where can I enquire about take home ration?,റേഷൻ വീട്ടിലേക്ക് കൊണ്ടുപോകുന്നതിനെക്കുറിച്ച് എനിക്ക് എവിടെ അന്വേഷിക്കാനാകും?,Where can I find out about taking the ration home?
We use the information we collect from all our services for the following purposes:,ഞങ്ങളുടെ എല്ലാ സേവനങ്ങളിൽ നിന്നും ഞങ്ങൾ ശേഖരിക്കുന്ന വിവരങ്ങൾ ഇനിപ്പറയുന്ന ആവശ്യങ്ങൾക്കായി ഞങ്ങൾ ഉപയോഗിക്കുന്നുഃ,The information we collect from all our services is used for the following purposes:
Identification & Referral of Sick Newborn,അസുഖമുള്ള നവജാതശിശുവിനെ തിരിച്ചറിയലും റഫറലും,Identification and Referral of Sick Newborn
 XIV. CORRECTNESS OF DATA PROVIDED BY THIRD PARTY SYSTEMS, XIV. മൂന്നാം കക്ഷി സംവിധാനങ്ങൾ നൽകുന്ന ഡാറ്റയുടെ കൃത്യത,XIV. Accuracy of data provided by third party systems
Who is eligible for Take Home Ration?,ടേക്ക് ഹോം റേഷൻ ലഭിക്കാൻ അർഹതയുള്ളത് ആരാണ്?,Who is eligible for Take Home Ration?
Supporting mothers with issues in Breastfeeding,മുലയൂട്ടൽ പ്രശ്നങ്ങളുള്ള അമ്മമാരെ പിന്തുണയ്ക്കുന്നു,Support to Mothers with lactating mothers
"The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.","നിർദ്ദിഷ്ട സൂചകങ്ങളിൽ എല്ലാ എഡബ്ല്യുസി, എഡബ്ല്യുഡബ്ല്യു, ഗുണഭോക്താക്കൾ എന്നിവരുടെ തത്സമയ നിരീക്ഷണവും ട്രാക്കുചെയ്യലും നിർദ്ദിഷ്ട സംവിധാനം പ്രാപ്തമാക്കണം.","In the proposed indicators, real-time monitoring and tracking of all AWCs, AWWs and beneficiaries should be enabled."
Above standards are defined as per given above mentioned age brackets,മുകളിൽ പറഞ്ഞിരിക്കുന്ന പ്രായപരിധി അനുസരിച്ച് മുകളിലുള്ള മാനദണ്ഡങ്ങൾ നിർവചിച്ചിരിക്കുന്നു,The above criteria are defined based on the above mentioned age limit
"If a person is underweight, their body may not be getting the nutrients it needs to build healthy bones, skin and hair","ഒരു വ്യക്തിക്ക് ഭാരക്കുറവുണ്ടെങ്കിൽ, ആരോഗ്യമുള്ള എല്ലുകൾ, ചർമ്മം, മുടി എന്നിവ നിർമ്മിക്കുന്നതിന് ആവശ്യമായ പോഷകങ്ങൾ ശരീരത്തിന് ലഭിച്ചേക്കില്ല","If a person is underweight, the body may not be getting enough nutrients to build healthy bones, skin and hair"
MPIN can be set by respective Anganwadi worker by requesting an OTP against his/her mobile number.,ബന്ധപ്പെട്ട അംഗൻവാടി പ്രവർത്തകന് അവന്റെ / അവളുടെ മൊബൈൽ നമ്പറിനെതിരെ ഒരു ഒടിപി അഭ്യർത്ഥിച്ച് എംപിഎൻ സജ്ജമാക്കാൻ കഴിയും.,The concerned Anganwadi worker can set up the MPN by requesting an OTP against his / her mobile number
"If Mobile number is already present in the database, the respective Anganwadi person will receive 4 digits OTP on registered mobile number.","മൊബൈൽ നമ്പർ ഇതിനകം ഡാറ്റാബേസിൽ ഉണ്ടെങ്കിൽ, ബന്ധപ്പെട്ട അംഗൻവാഡി വ്യക്തിക്ക് രജിസ്റ്റർ ചെയ്ത മൊബൈൽ നമ്പറിൽ 4 അക്ക ഒടിപി ലഭിക്കും.","If the mobile number is already in the database, the concerned Anganwadi individual will receive a 4-digit OTP on the registered mobile number."
"Post entering the OTP, AWW can easily set customized MPIN.","ഒടിപിയിൽ പ്രവേശിക്കുന്ന പോസ്റ്റ്, എഡബ്ല്യുഡബ്ല്യുവിന് ഇച്ഛാനുസൃതമാക്കിയ എംപിഎൻ എളുപ്പത്തിൽ സജ്ജമാക്കാൻ കഴിയും.","The post entering OTP, AWW can easily set up the customized MPN."
"It enables your interaction with participating healthcare providers, and allows you to receive your digital lab reports, prescriptions and diagnosis seamlessly from verified healthcare professionals and health service providers.","പങ്കെടുക്കുന്ന ഹെൽത്ത് കെയർ പ്രൊവൈഡർമാരുമായുള്ള നിങ്ങളുടെ ആശയവിനിമയം ഇത് പ്രാപ്തമാക്കുന്നു, കൂടാതെ നിങ്ങളുടെ ഡിജിറ്റൽ ലാബ് റിപ്പോർട്ടുകൾ, കുറിപ്പടികൾ, രോഗനിർണയം എന്നിവ പരിശോധിച്ചുറപ്പിച്ച ഹെൽത്ത് കെയർ പ്രൊഫഷണലുകളിൽ നിന്നും ആരോഗ്യ സേവന ദാതാക്കളിൽ നിന്നും പരിധികളില്ലാതെ സ്വീകരിക്കാനും നിങ്ങളെ അനുവദിക്കുന്നു.","It enables your interaction with participating healthcare providers and allows you to receive your digital lab reports, notes, and diagnostics from verified healthcare professionals and healthcare providers without limitation."
Our System provides API to Third – Party Sites that may collect your personal information.,നിങ്ങളുടെ സ്വകാര്യ വിവരങ്ങൾ ശേഖരിച്ചേക്കാവുന്ന മൂന്നാം കക്ഷി സൈറ്റുകൾക്ക് ഞങ്ങളുടെ സിസ്റ്റം API നൽകുന്നു.,Our System API provides third-party sites where your private information can be collected.
Poshan Tracker is not in any manner responsible for the security of such information or their privacy practices or content of those Third – Party Sites.,അത്തരം വിവരങ്ങളുടെ സുരക്ഷയ്ക്കോ അവരുടെ സ്വകാര്യതാ രീതികൾക്കോ   മൂന്നാം കക്ഷി സൈറ്റുകളുടെ ഉള്ളടക്കത്തിനോ പോഷൻ ട്രാക്കർ ഒരു തരത്തിലും ഉത്തരവാദിയല്ല.,"Potion trackers are not in any way responsible for the security of such data, their privacy practices or content of third party websites."
These third-party service providers and Third-Party Sites may have their own privacy policies governing the storage and retention of your information that you may be subject to.,ഈ മൂന്നാം കക്ഷി സേവന ദാതാക്കൾക്കും മൂന്നാം കക്ഷി സൈറ്റുകൾക്കും നിങ്ങൾ വിധേയമായേക്കാവുന്ന നിങ്ങളുടെ വിവരങ്ങളുടെ സംഭരണവും നിലനിർത്തലും നിയന്ത്രിക്കുന്ന അവരുടെ സ്വന്തം സ്വകാര്യതാ നയങ്ങൾ ഉണ്ടായിരിക്കാം.,These third party service providers and third party sites may also have their own privacy policies that control the storage and maintenance of your information.
"This Privacy Policy does not govern any information provided to, stored on, or used by these third-party providers and Third-Party Sites.",ഈ സ്വകാര്യതാ നയം ഈ മൂന്നാം കക്ഷി ദാതാക്കൾക്കും മൂന്നാം കക്ഷി സൈറ്റുകൾക്കും നൽകുന്നതോ സംഭരിച്ചതോ ഉപയോഗിക്കുന്നതോ ആയ ഒരു വിവരവും നിയന്ത്രിക്കുന്നില്ല.,"This Privacy Policy does not restrict the use, storage or use of information by third party providers and third party sites."
"We recommend that when you enter a Third-Party Site, you review the Third Party Site’s privacy policy as it relates to safeguarding of your information.","നിങ്ങൾ ഒരു മൂന്നാം കക്ഷി സൈറ്റിൽ പ്രവേശിക്കുമ്പോൾ, നിങ്ങളുടെ വിവരങ്ങൾ സംരക്ഷിക്കുന്നതുമായി ബന്ധപ്പെട്ട മൂന്നാം കക്ഷി സൈറ്റിന്റെ സ്വകാര്യതാ നയം അവലോകനം ചെയ്യാൻ ഞങ്ങൾ ശുപാർശ ചെയ്യുന്നു.","When you log in to a third party site, we recommend you review the privacy policy of a third party site that protects your information."
You agree and acknowledge that Poshan Tracker will not be liable for the information published in search results or by any Third-Party Sites.,തിരയൽ ഫലങ്ങളിലോ ഏതെങ്കിലും മൂന്നാം കക്ഷി സൈറ്റുകളിലോ പ്രസിദ്ധീകരിക്കുന്ന വിവരങ്ങൾക്ക് പോഷൻ ട്രാക്കർ ബാധ്യസ്ഥനല്ലെന്ന് നിങ്ങൾ സമ്മതിക്കുകയും അംഗീകരിക്കുകയും ചെയ്യുന്നു.,You agree and acknowledge that Potion Tracker is not liable for the information published in the search results or on any third party websites.
"By visiting or using the Site, you expressly agree to these Terms, as updated from time to time.","സൈറ്റ് സന്ദർശിക്കുകയോ ഉപയോഗിക്കുകയോ ചെയ്യുന്നതിലൂടെ, കാലാകാലങ്ങളിൽ അപ്ഡേറ്റ് ചെയ്യുന്ന ഈ നിബന്ധനകൾ നിങ്ങൾ വ്യക്തമായി അംഗീകരിക്കുന്നു.","By visiting or using the site, you clearly endorse these terms and conditions which are updated from time to time."
"If you do not agree with any part of these terms, do not use the site.","ഈ നിബന്ധനകളുടെ ഏതെങ്കിലും ഭാഗം നിങ്ങൾ അംഗീകരിക്കുന്നില്ലെങ്കിൽ, സൈറ്റ് ഉപയോഗിക്കരുത്.","If you do not agree to any of these terms and conditions, do not use the site."
You may not use the Site in any manner and may not accept the Terms if you are not of legal age to form a binding contract.,"നിങ്ങൾ ഒരു തരത്തിലും സൈറ്റ് ഉപയോഗിക്കാൻ പാടില്ല, ഒരു കരാർ രൂപീകരിക്കാൻ നിങ്ങൾക്ക് നിയമപരമായ പ്രായമില്ലെങ്കിൽ നിബന്ധനകൾ അംഗീകരിക്കാൻ പാടില്ല.","You should not use the site in any way, you should not accept the terms and conditions to form a contract if you are not of legal age."
Bacillus Calmette Guerin (BCG)Oral Polio Vaccine (OPV)-0 dose Hepatitis B birth dose OPV-1 T,ബാസിലസ് കാൽമെറ്റ് ഗ്വെറിൻ (ബിസിജി)ഓറൽ പോളിയോ വാക്സിൻ (OPV)-0 ഡോസ് ഹെപ്പറ്റൈറ്റിസ് ബി ജനന ഡോസ് OPV-1 T,Bacillus Calmate Guerin (BCG) Oral Polio Vaccine (OPV) - 0 Dose Hepatitis B Birth Dose OPV-1 T
"The information collected under Clause 1, shall be used for the purpose of facilitating the health of the beneficiaries.","ക്ലോസ് 1 പ്രകാരം ശേഖരിക്കുന്ന വിവരങ്ങൾ, ഗുണഭോക്താക്കളുടെ ആരോഗ്യം സുഗമമാക്കുന്നതിന് ഉപയോഗിക്കും.",The data collected under Clause 1 will be used for improving the health of the beneficiaries.
"We provide our products, which includes updating, securing, and troubleshooting the information/data/ materials and contents of the System, as well as providing support.","സിസ്റ്റത്തിന്റെ വിവരങ്ങൾ/ഡാറ്റ/ മെറ്റീരിയലുകളും ഉള്ളടക്കങ്ങളും അപ്ഡേറ്റ് ചെയ്യൽ, സുരക്ഷിതമാക്കൽ, ട്രബിൾഷൂട്ട് ചെയ്യൽ, പിന്തുണ നൽകൽ എന്നിവ ഉൾപ്പെടുന്ന ഞങ്ങളുടെ ഉൽപ്പന്നങ്ങൾ ഞങ്ങൾ നൽകുന്നു.","We provide our products that include updating, securing, troubleshooting and supporting system information / data / materials and contents."
"When you register on Poshan Tracker, the Mobile number with which you registered, will be used to locate your record from the database.","നിങ്ങൾ പോഷൻ ട്രാക്കറിൽ രജിസ്റ്റർ ചെയ്യുമ്പോൾ, നിങ്ങൾ രജിസ്റ്റർ ചെയ്ത മൊബൈൽ നമ്പർ, ഡാറ്റാബേസിൽ നിന്ന് നിങ്ങളുടെ റെക്കോർഡ് കണ്ടെത്താൻ ഉപയോഗിക്കും.","When you register in the Potion Tracker, your registered mobile number will be used to locate your record from the database."
These can also be used to assess the health status as recorded in the Poshan Tracker system.,പോഷൻ ട്രാക്കർ സിസ്റ്റത്തിൽ രേഖപ്പെടുത്തിയിരിക്കുന്ന ആരോഗ്യനില വിലയിരുത്താനും ഇവ ഉപയോഗിക്കാം.,They can also be used to assess the health status recorded in the Potion Tracker System.
Training on ICT Platform under POSHAN Abhiyaan,പോഷൻ അഭിയാന്റെ കീഴിൽ ഐസിടി പ്ലാറ്റ്ഫോമിൽ പരിശീലനം,Training on ICT Platform under POSHAN Abhiyaan
"Know more about stunting, wasting and underweight","മുരടിപ്പ്, ക്ഷീണം, ഭാരക്കുറവ് എന്നിവയെക്കുറിച്ച് കൂടുതലറിയുക","Know more about fatigue, body pain and weight loss"
What information to be added in AWC forms?,AWC ഫോമുകളിൽ എന്ത് വിവരമാണ് ചേർക്കേണ്ടത്?,What information should be included in the AWC forms?
How to revive your health if you are Moderately Wasted (MAM),നിങ്ങൾ മിതമായ രീതിയിൽ പാഴായെങ്കിൽ (MAM) നിങ്ങളുടെ ആരോഗ്യം എങ്ങനെ പുനരുജ്ജീവിപ്പിക്കാം,How to revive your health if you are wasting your time (MAM)
AWC Workers Registered In Last 30 Days,കഴിഞ്ഞ 30 ദിവസത്തിനുള്ളിൽ AWC വർക്കർമാർ രജിസ്റ്റർ ചെയ്തു,AWC Workers Registered in Last 30 Days
Click on above button to get this App,ഈ അപ്ലിക്കേഷൻ ലഭിക്കുന്നതിന് മുകളിലുള്ള ബട്ടണിൽ ക്ലിക്കുചെയ്യുക,Click here for downloading the app
Beneficiaries Registered In Last 30 Days,കഴിഞ്ഞ 30 ദിവസത്തിനുള്ളിൽ രജിസ്റ്റർ ചെയ്ത ഗുണഭോക്താക്കൾ,Beneficiaries registered in last 30 days
